---config@码表分类=主码-2
---config@码表别名=二级简码
式	aa#序65000
节	ab#序65000
芭	ac#序65000
苦	ad#序65000
功	ae#序65000
革	af#序65000
七	ag#序65000
牙	ah#序65000
东	ai#序65000
划	aj#序65000
或	ak#序65000
苗	al#序65000
贡	am#序65000
艺	an#序65000
蘑	ao#序65000
芝	ap#序65000
匹	aq#序65000
区	ar#序65000
莆	as#序65000
攻	at#序65000
蒋	au#序65000
切	av#序65000
共	aw#序65000
药	ax#序65000
芳	ay#序65000
陈	ba#序65000
子	bb#序65000
取	bc#序65000
承	bd#序65000
阴	be#序65000
际	bf#序65000
卫	bg#序65000
耻	bh#序65000
孙	bi#序65000
阳	bj#序65000
职	bk#序65000
阵	bl#序65000
出	bm#序65000
也	bn#序65000
耿	bo#序65000
辽	bp#序65000
陶	bq#序65000
孤	br#序65000
阿	bs#序65000
降	bt#序65000
联	bu#序65000
限	bv#序65000
队	bw#序65000
陛	bx#序65000
及	by#序65000
戏	ca#序65000
邓	cb#序65000
双	cc#序65000
参	cd#序65000
能	ce#序65000
对	cf#序65000
马	cg#序65000
犋	ch#序65000
厼	ci#序65000
犦	cj#序65000
台	ck#序65000
犤	cl#序65000
观	cm#序65000
予	cn#序65000
駴	co#序65000
牸	cp#序65000
物	cq#序65000
㸸	cr#序65000
牺	cs#序65000
矣	ct#序65000
㸯	cu#序65000
艰	cv#序65000
难	cw#序65000
牝	cx#序65000
叉	cy#序65000
左	da#序65000
破	db#序65000
友	dc#序65000
大	dd#序65000
历	de#序65000
夺	df#序65000
三	dg#序65000
还	dh#序65000
砂	di#序65000
百	dj#序65000
右	dk#序65000
面	dl#序65000
而	dm#序65000
成	dn#序65000
矿	do#序65000
达	dp#序65000
克	dq#序65000
原	dr#序65000
厅	ds#序65000
故	dt#序65000
辜	du#序65000
肆	dv#序65000
其	dw#序65000
龙	dx#序65000
太	dy#序65000
肛	ea#序65000
服	eb#序65000
肥	ec#序65000
须	ed#序65000
朋	ee#序65000
肚	ef#序65000
且	eg#序65000
毡	eh#序65000
膛	ei#序65000
胆	ej#序65000
加	ek#序65000
舆	el#序65000
觅	em#序65000
力	en#序65000
脏	eo#序65000
边	ep#序65000
胸	eq#序65000
貌	er#序65000
采	es#序65000
用	et#序65000
胶	eu#序65000
妥	ev#序65000
办	ew#序65000
脂	ex#序65000
肪	ey#序65000
域	fa#序65000
坡	fb#序65000
支	fc#序65000
城	fd#序65000
协	fe#序65000
寺	ff#序65000
十	fg#序65000
直	fh#序65000
示	fi#序65000
刊	fj#序65000
吉	fk#序65000
雷	fl#序65000
南	fm#序65000
志	fn#序65000
赤	fo#序65000
过	fp#序65000
无	fq#序65000
垢	fr#序65000
某	fs#序65000
才	ft#序65000
增	fu#序65000
雪	fv#序65000
零	fw#序65000
坳	fx#序65000
坊	fy#序65000
开	ga#序65000
击	gb#序65000
到	gc#序65000
天	gd#序65000
表	ge#序65000
于	gf#序65000
五	gg#序65000
下	gh#序65000
求	gi#序65000
理	gj#序65000
事	gk#序65000
画	gl#序65000
现	gm#序65000
与	gn#序65000
亚	go#序65000
琛	gp#序65000
万	gq#序65000
珀	gr#序65000
末	gs#序65000
麦	gt#序65000
来	gu#序65000
妻	gv#序65000
珍	gw#序65000
互	gx#序65000
玉	gy#序65000
瞒	ha#序65000
齰	hb#序65000
眸	hc#序65000
非	hd#序65000
肯	he#序65000
睦	hf#序65000
睛	hg#序65000
步	hh#序65000
叔	hi#序65000
旧	hj#序65000
占	hk#序65000
卤	hl#序65000
贞	hm#序65000
虑	hn#序65000
虚	ho#序65000
瞎	hp#序65000
餐	hq#序65000
睥	hr#序65000
盯	hs#序65000
睡	ht#序65000
瞳	hu#序65000
眼	hv#序65000
具	hw#序65000
此	hx#序65000
眩	hy#序65000
江	ia#序65000
波	ib#序65000
汉	ic#序65000
尖	id#序65000
肖	ie#序65000
汗	if#序65000
光	ig#序65000
小	ih#序65000
水	ii#序65000
浊	ij#序65000
溃	ik#序65000
渐	il#序65000
油	im#序65000
沁	in#序65000
渡	io#序65000
党	ip#序65000
沟	iq#序65000
